Name;Address;Coordinat;Opening Hour;Rating
Pantai Tegal Wangi; Jl. Pantai Tegal Wangi, Jimbaran, Badung, Bali, Indonesia; -8.8075° S, 115.1173° E; 7:00 AM - 7:00 PM; N/A
Uluwatu Temple; Pura Uluwatu, Pecatu, Jimbaran, Badung, Bali, Indonesia; -8.8303° S, 115.0909° E; 9:00 AM - 6:00 PM; N/A
Garuda Wisnu Kencana; Jl. Raya Uluwatu, Ungasan, Jimbaran, Badung, Bali, Indonesia; -8.8137° S, 115.1724° E; 8:00 AM - 10:00 PM; N/A
Pantai Padang Padang; Jl. Labuan Sait, Pecatu, Jimbaran, Badung, Bali, Indonesia; -8.8054° S, 115.1119° E; 7:00 AM - 7:00 PM; N/A
Pura Luhur Uluwatu; Pura Uluwatu, Pecatu, Jimbaran, Badung, Bali, Indonesia; -8.8303° S, 115.0907° E; 9:00 AM - 6:00 PM; N/A
Pantai Green Bowl; Jl. Kutuh Beach, Ungasan, Jimbaran, Badung, Bali, Indonesia; -8.8441° S, 115.1651° E; 9:00 AM - 6:00 PM; N/A
Pantai Bingin; Jl. Pantai Bingin, Pecatu, Jimbaran, Badung, Bali, Indonesia; -8.8055° S, 115.1155° E; Open 24 hours; N/A
Pura Taman Ayun; Jl. Ayodya, Marga, Tabanan, Bali, Indonesia; -8.5505° S, 115.2216° E; 8:00 AM - 6:00 PM; N/A
Pantai Melasti; Jl. Melasti, Ungasan, Jimbaran, Badung, Bali, Indonesia; -8.8096° S, 115.1302° E; 7:00 AM - 7:00 PM; N/A
Pantai Pandawa; Jl. Pantai Pandawa, Kutuh, Jimbaran, Badung, Bali, Indonesia; -8.8721° S, 115.1545° E; 7:00 AM - 7:00 PM; N/A
Pura Dalem Segara Madu; Jl. Pantai Mengiat, Nusa Dua, Bali, Indonesia; -8.8062° S, 115.2286° E; 9:00 AM - 6:00 PM; N/A
New Kuta Golf; Jl. Raya Uluwatu, Pecatu, Jimbaran, Badung, Bali, Indonesia; -8.8089° S, 115.1426° E; 6:00 AM - 9:00 PM; N/A
Pantai Suluban; Jl. Pantai Suluban, Pecatu, Jimbaran, Badung, Bali, Indonesia; -8.8190° S, 115.0905° E; Open 24 hours; N/A
Pantai Muaya; Jl. Pantai Muaya, Jimbaran, Badung, Bali, Indonesia; -8.8020° S, 115.2502° E; Open 24 hours; N/A
Bali Paintball Arena; Jl. Pantai Pandawa, Kutuh, Jimbaran, Badung, Bali, Indonesia; -8.8693° S, 115.1482° E; 9:00 AM - 5:00 PM; N/A
Garuda Wisnu Kencana Cultural Park; Jl. Raya Uluwatu, Ungasan, Jimbaran, Badung, Bali, Indonesia; -8.8138° S, 115.1741° E; 8:00 AM - 10:00 PM; N/A
Pantai Geger; Jl. Pantai Geger, Nusa Dua, Bali, Indonesia; -8.8093° S, 115.2292° E; Open 24 hours; N/A
Jenggala Ceramic Arts Bali; Jl. Uluwatu II No.78, Jimbaran, Badung, Bali, Indonesia; -8.7910° S, 115.1710° E; 9:00 AM - 5:00 PM; N/A
Pantai Dreamland; Jl. Pantai Dreamland, Pecatu, Jimbaran, Badung, Bali, Indonesia; -8.8123° S, 115.1129° E; Open 24 hours; N/A
Garuda Wisnu Kencana Statue; Jl. Raya Uluwatu, Ungasan, Jimbaran, Badung, Bali, Indonesia; -8.8221° S, 115.1710° E; 8:00 AM - 10:00 PM; N/A
Pura Tirtha Empul; Jl. Amlapura - Tirta Gangga, Banjar Yeh Embang, Jimbaran, Badung, Bali, Indonesia; -8.8057° S, 115.1499° E; 9:00 AM - 6:00 PM; N/A
Pantai Kelan; Jl. Pantai Kelan, Jimbaran, Badung, Bali, Indonesia; -8.8011° S, 115.2620° E; Open 24 hours; N/A
Pura Jagatnatha; Jl. Sriwijaya No.25, Jimbaran, Badung, Bali, Indonesia; -8.7683° S, 115.1740° E; 6:00 AM - 9:00 PM; N/A
Pantai Geger; Jl. Pantai Geger, Nusa Dua, Badung, Bali, Indonesia; -8.8005° S, 115.2311° E; Open 24 hours; N/A
Pantai Nusa Dua; Nusa Dua, Badung, Bali, Indonesia; -8.7986° S, 115.2308° E; Open 24 hours; N/A
Museum Pasifika; BTDC Area, Block P, Nusa Dua, Badung, Bali, Indonesia; -8.8093° S, 115.2249° E; 10:00 AM - 6:00 PM; N/A
Pura Geger; Jl. Pantai Geger, Nusa Dua, Badung, Bali, Indonesia; -8.8037° S, 115.2320° E; 9:00 AM - 6:00 PM; N/A
Pantai Mengiat; Jl. Pantai Mengiat, Nusa Dua, Badung, Bali, Indonesia; -8.8120° S, 115.2193° E; Open 24 hours; N/A
Pantai Sawangan; Jl. Pantai Sawangan, Nusa Dua, Badung, Bali, Indonesia; -8.8282° S, 115.2210° E; Open 24 hours; N/A
Bali National Golf Club; Jl. Nusa Dua Selatan, Kawasan Wisata, Nusa Dua, Badung, Bali, Indonesia; -8.8007° S, 115.2093° E; 6:30 AM - 7:00 PM; N/A
Bali Collection; ITDC Complex, Nusa Dua, Badung, Bali, Indonesia; -8.8123° S, 115.2210° E; 10:00 AM - 11:00 PM; N/A
Pura Segara; Jl. Pantai Geger, Nusa Dua, Badung, Bali, Indonesia; -8.8055° S, 115.2319° E; 9:00 AM - 6:00 PM; N/A
Pantai Samuh; Jl. Pantai Samuh, Nusa Dua, Badung, Bali, Indonesia; -8.8330° S, 115.2334° E; Open 24 hours; N/A
Nusa Dua Beach Water Blow; Jl. Pantai Mengiat, Nusa Dua, Badung, Bali, Indonesia; -8.8174° S, 115.2213° E; Open 24 hours; N/A
Pantai Pandawa; Jl. Pantai Pandawa, Kutuh, Badung, Bali, Indonesia; -8.8733° S, 115.1595° E; 7:00 AM - 7:00 PM; N/A
Bali Camel Safari; Jl. Pantai Dhyana Pura, Seminyak, Badung, Bali, Indonesia; -8.7986° S, 115.2308° E; 9:00 AM - 5:00 PM; N/A
Pantai Pasir Putih Samuh; Jl. Pantai Samuh, Nusa Dua, Badung, Bali, Indonesia; -8.8330° S, 115.2336° E; Open 24 hours; N/A
Pantai Water Blow; Peninsula Island, Nusa Dua, Badung, Bali, Indonesia; -8.8200° S, 115.2266° E; 24 jam; N/A
Garuda Wisnu Kencana Statue; Jl. Raya Uluwatu, Ungasan, Jimbaran, Badung, Bali, Indonesia; -8.8221° S, 115.1710° E; 8:00 AM - 10:00 PM; N/A
Pantai Nikko; Jl. Pantai Mengiat, Nusa Dua, Badung, Bali, Indonesia; -8.8143° S, 115.2233° E; Open 24 hours; N/A
Pantai Serangan; Jl. Pantai Serangan, Serangan, Denpasar, Bali, Indonesia; -8.7021° S, 115.2584° E; Open 24 hours; N/A
Pura Puja Mandala; Jl. Nusa Dua, Benoa, Kuta Selatan, Badung, Bali, Indonesia; -8.8086° S, 115.2283° E; 9:00 AM - 6:00 PM; N/A
Pantai Bias Tugel; Jl. Pantai Pandawa, Kutuh, Badung, Bali, Indonesia; -8.8693° S, 115.1482° E; 7:00 AM - 7:00 PM; N/A
Pantai Sawangan; Jl. Pantai Sawangan, Nusa Dua, Badung, Bali, Indonesia; -8.8282° S, 115.2210° E; Open 24 hours; N/A
Pantai Pandawa; Jl. Pantai Pandawa, Kutuh, Badung, Bali, Indonesia; -8.8733° S, 115.1595° E; 7:00 AM - 7:00 PM; N/A
Bali Camel Safari; Jl. Pantai Dhyana Pura, Seminyak, Badung, Bali, Indonesia; -8.7986° S, 115.2308° E; 9:00 AM - 5:00 PM; N/A
Pantai Pasir Putih Samuh; Jl. Pantai Samuh, Nusa Dua, Badung, Bali, Indonesia; -8.8330° S, 115.2336° E; Open 24 hours; N/A
Pantai Water Blow; Peninsula Island, Nusa Dua, Badung, Bali, Indonesia; -8.8200° S, 115.2266° E; 24 jam; N/A
Pantai Sanur; Jl. Pantai Sanur, Sanur, Denpasar Selatan, Bali, Indonesia; -8.6910° S, 115.2617° E; Open 24 hours; N/A
Pura Blanjong; Jl. Danau Poso, Sanur, Denpasar Selatan, Bali, Indonesia; -8.6735° S, 115.2630° E; 9:00 AM - 5:00 PM; N/A
Pantai Segara Ayu; Jl. Pantai Segara Ayu, Sanur, Denpasar Selatan, Bali, Indonesia; -8.6930° S, 115.2654° E; Open 24 hours; N/A
Taman Festival Sanur; Jl. By Pass Ngurah Rai No.9, Sanur, Denpasar Selatan, Bali, Indonesia; -8.6745° S, 115.2663° E; 9:00 AM - 6:00 PM; N/A
Pasar Sindu; Jl. Danau Tamblingan, Sanur, Denpasar Selatan, Bali, Indonesia; -8.6929° S, 115.2632° E; Jam buka bervariasi; N/A
Pantai Karang; Jl. Pantai Karang, Sanur, Denpasar Selatan, Bali, Indonesia; -8.6979° S, 115.2703° E; Open 24 hours; N/A
Pantai Mertasari; Jl. Pantai Mertasari, Sanur, Denpasar Selatan, Bali, Indonesia; -8.7074° S, 115.2729° E; Open 24 hours; N/A
Pantai Semawang; Jl. Pantai Semawang, Sanur, Denpasar Selatan, Bali, Indonesia; -8.7064° S, 115.2744° E; Open 24 hours; N/A
Taman Kota Sanur; Jl. Danau Tamblingan, Sanur, Denpasar Selatan, Bali, Indonesia; -8.6860° S, 115.2651° E; 24 jam; N/A
Pura Segara Temple; Jl. Pantai Segara, Sanur, Denpasar Selatan, Bali, Indonesia; -8.6933° S, 115.2659° E; 9:00 AM - 6:00 PM; N/A
Pantai Matahari Terbit; Jl. Pantai Matahari Terbit, Sanur, Denpasar Selatan, Bali, Indonesia; -8.6902° S, 115.2675° E; Open 24 hours; N/A
Pantai Sindhu; Jl. Pantai Sindhu, Sanur, Denpasar Selatan, Bali, Indonesia; -8.6808° S, 115.2630° E; Open 24 hours; N/A
Pantai Padang Galak; Jl. Pantai Padang Galak, Sanur, Denpasar Selatan, Bali, Indonesia; -8.6720° S, 115.2851° E; Open 24 hours; N/A
Pantai Karang Beach; Jl. Pantai Karang, Sanur, Denpasar Selatan, Bali, Indonesia; -8.6967° S, 115.2697° E; Open 24 hours; N/A
Galeria Mall; Jl. Danau Tamblingan No.9, Sanur, Denpasar Selatan, Bali, Indonesia; -8.6804° S, 115.2634° E; 10:00 AM - 10:00 PM; N/A
Pantai Duyung; Jl. Pantai Duyung, Sanur, Denpasar Selatan, Bali, Indonesia; -8.6962° S, 115.2670° E; Open 24 hours; N/A
Pantai Hyatt; Jl. Pantai Hyatt, Sanur, Denpasar Selatan, Bali, Indonesia; -8.7062° S, 115.2665° E; Open 24 hours; N/A
Museum Le Mayeur; Jl. Hang Tuah No.1, Sanur, Denpasar Selatan, Bali, Indonesia; -8.6906° S, 115.2671° E; 8:00 AM - 3:30 PM; N/A
Pantai Kusamba; Jl. Pantai Kusamba, Klungkung, Bali, Indonesia; -8.6779° S, 115.6071° E; Open 24 hours; N/A
Taman Pohon Banyan; Jl. Jalan Bypass Ngurah Rai No.123, Sanur, Denpasar Selatan, Bali, Indonesia; -8.6739° S, 115.2602° E; 24 jam; N/A
Pantai Biaung; Jl. Pantai Biaung, Sanur, Denpasar Selatan, Bali, Indonesia; -8.6886° S, 115.2669° E; Open 24 hours; N/A
Pantai Pemandangan Matahari Terbit; Jl. Pantai Matahari Terbit, Sanur, Denpasar Selatan, Bali, Indonesia; -8.6901° S, 115.2675° E; Open 24 hours; N/A
Pantai Kesuma; Jl. Pantai Kesuma, Sanur, Denpasar Selatan, Bali, Indonesia; -8.6933° S, 115.2702° E; Open 24 hours; N/A
Pura Belanjong; Jl. Ngurah Rai By Pass, Sanur, Denpasar Selatan, Bali, Indonesia; -8.6757° S, 115.2667° E; 9:00 AM - 5:00 PM; N/A
Pantai Kutuh; Jl. Pantai Kutuh, Sanur, Denpasar Selatan, Bali, Indonesia; -8.7064° S, 115.2814° E; Open 24 hours; N/A
