status_pemeriksaan;durasi;sejarah_kredit;tujuan_kredit;jumlah kredit;status_tabungan;pekerjaan;komitmen_cicilan;status_pribadi;pihak_lain;lama_tinggal;nilai_properti;usia;rencana_pembayaran_lainnya;tempat_tinggal;kredit_yang_ada;pekerjaan;jumlah_tanggungan;memiliki_ponsel;pekerja_asing;kelas
tidak ada pemeriksaan;24;kredit penting/kredit lainnya;radio/tv;2424;tidak diketahui;>=7;4;pria lajang;tidak ada;4;asuransi jiwa;53;tidak ada;milik sendiri;2;terampil;1;tidak;ya;baik
<0;30;tidak ada kredit/kredit lunas;bisnis;8072;tidak diketahui;<1;2;pria lajang;tidak ada;3;mobil;25;bank;milik sendiri;3;terampil;1;tidak;ya;baik
0<=X<200;24;berbayar yang ada;mobil bekas;12579;<100;>=7;4;wanita bercerai/menikah;tidak ada;2;tidak diketahui;44;tidak ada;gratis;1;kualifikasi tinggi;1;ya;ya;buruk
tidak ada pemeriksaan;24;berbayar yang ada;radio/tv;3430;500;>=7;3;pria lajang;tidak ada;2;mobil;31;tidak ada;milik sendiri;1;terampil;2;ya;ya;baik
tidak ada pemeriksaan;9;kredit penting/kredit lainnya;mobil baru;2134;<100;1;4;pria lajang;tidak ada;4;mobil;48;tidak ada;milik sendiri;3;terampil;1;ya;ya;baik
<0;6;berbayar yang ada;radio/tv;2647;500;1;2;pria lajang;tidak ada;3;perumahan;44;tidak ada;sewa;1;terampil;2;tidak;ya;baik
<0;10;kredit penting/kredit lainnya;mobil baru;2241;<100;<1;1;pria lajang;tidak ada;3;perumahan;48;tidak ada;sewa;2;tidak terampil;2;tidak;tidak;baik
0<=X<200;12;kredit penting/kredit lainnya;mobil bekas;1804;100;<1;3;pria lajang;tidak ada;4;asuransi jiwa;44;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;10;kredit penting/kredit lainnya;perabot/perlengkapan;2069;tidak diketahui;1;2;pria menikah/duda;tidak ada;1;mobil;26;tidak ada;milik sendiri;2;terampil;1;tidak;tidak;baik
<0;6;berbayar yang ada;perabot/perlengkapan;1374;<100;1;1;pria lajang;tidak ada;2;perumahan;36;bank;milik sendiri;1;tidak terampil;1;ya;ya;baik
tidak ada pemeriksaan;6;tidak ada kredit/kredit lunas;radio/tv;426;<100;>=7;4;pria menikah/duda;tidak ada;4;mobil;39;tidak ada;milik sendiri;1;tidak terampil;1;tidak;ya;baik
>=200;12;lunas seluruhnya;radio/tv;409;>=1000;1;3;wanita bercerai/menikah;tidak ada;3;perumahan;42;tidak ada;sewa;2;terampil;1;tidak;ya;baik
0<=X<200;7;berbayar yang ada;radio/tv;2415;<100;1;3;pria lajang;penjamin;2;perumahan;34;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
<0;60;sebelumnya tertunda;bisnis;6836;<100;>=7;3;pria lajang;tidak ada;4;tidak diketahui;63;tidak ada;milik sendiri;2;terampil;1;ya;ya;buruk
0<=X<200;18;berbayar yang ada;bisnis;1913;>=1000;<1;3;pria menikah/duda;tidak ada;3;perumahan;36;bank;milik sendiri;1;terampil;1;ya;ya;baik
<0;24;berbayar yang ada;perabot/perlengkapan;4020;<100;1;2;pria lajang;tidak ada;2;mobil;27;toko;milik sendiri;1;terampil;1;tidak;ya;baik
0<=X<200;18;berbayar yang ada;mobil baru;5866;100;1;2;pria lajang;tidak ada;2;mobil;30;tidak ada;milik sendiri;2;terampil;1;ya;ya;baik
tidak ada pemeriksaan;12;kredit penting/kredit lainnya;bisnis;1264;tidak diketahui;>=7;4;pria lajang;tidak ada;4;tidak diketahui;57;tidak ada;sewa;1;tidak terampil;1;tidak;ya;baik
>=200;12;berbayar yang ada;perabot/perlengkapan;1474;<100;<1;4;wanita bercerai/menikah;tidak ada;1;asuransi jiwa;33;bank;milik sendiri;1;kualifikasi tinggi;1;ya;ya;baik
0<=X<200;45;kredit penting/kredit lainnya;radio/tv;4746;<100;<1;4;pria lajang;tidak ada;2;asuransi jiwa;25;tidak ada;milik sendiri;2;tidak terampil;1;tidak;ya;buruk
tidak ada pemeriksaan;48;kredit penting/kredit lainnya;pendidikan;6110;<100;1;1;pria lajang;tidak ada;3;tidak diketahui;31;bank;gratis;1;terampil;1;ya;ya;baik
>=200;18;berbayar yang ada;radio/tv;2100;<100;1;4;pria lajang;pemohon bersama;2;perumahan;37;toko;milik sendiri;1;terampil;1;tidak;ya;buruk
>=200;10;berbayar yang ada;peralatan rumah tangga;1225;<100;1;2;pria lajang;tidak ada;2;mobil;37;tidak ada;milik sendiri;1;terampil;1;ya;ya;baik
0<=X<200;9;berbayar yang ada;radio/tv;458;<100;1;4;pria lajang;tidak ada;3;perumahan;24;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;30;berbayar yang ada;radio/tv;2333;500;>=7;4;pria lajang;tidak ada;2;mobil;30;bank;milik sendiri;1;kualifikasi tinggi;1;tidak;ya;baik
0<=X<200;12;berbayar yang ada;radio/tv;1158;500;1;3;pria bercerai;tidak ada;1;mobil;26;tidak ada;milik sendiri;1;terampil;1;ya;ya;baik
0<=X<200;18;sebelumnya tertunda;perbaikan;6204;<100;1;2;pria lajang;tidak ada;4;perumahan;44;tidak ada;milik sendiri;1;tidak terampil;2;ya;ya;baik
<0;30;kredit penting/kredit lainnya;mobil bekas;6187;100;4;1;pria menikah/duda;tidak ada;4;mobil;24;tidak ada;sewa;2;terampil;1;tidak;ya;baik
<0;48;kredit penting/kredit lainnya;mobil bekas;6143;<100;>=7;4;wanita bercerai/menikah;tidak ada;4;tidak diketahui;58;toko;gratis;2;tidak terampil;1;tidak;ya;buruk
tidak ada pemeriksaan;11;kredit penting/kredit lainnya;mobil baru;1393;<100;<1;4;wanita bercerai/menikah;tidak ada;4;mobil;35;tidak ada;milik sendiri;2;kualifikasi tinggi;1;tidak;ya;baik
tidak ada pemeriksaan;36;berbayar yang ada;radio/tv;2299;500;>=7;4;pria lajang;tidak ada;4;mobil;39;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
<0;6;berbayar yang ada;mobil bekas;1352;500;pengangguran;1;wanita bercerai/menikah;tidak ada;2;asuransi jiwa;23;tidak ada;sewa;1;unemp/tidak terampil non res;1;ya;ya;baik
tidak ada pemeriksaan;11;kredit penting/kredit lainnya;mobil baru;7228;<100;1;1;pria lajang;tidak ada;4;asuransi jiwa;39;tidak ada;milik sendiri;2;tidak terampil;1;tidak;ya;baik
tidak ada pemeriksaan;12;berbayar yang ada;radio/tv;2073;100;1;4;wanita bercerai/menikah;pemohon bersama;2;perumahan;28;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
0<=X<200;24;sebelumnya tertunda;perabot/perlengkapan;2333;tidak diketahui;<1;4;pria lajang;tidak ada;2;asuransi jiwa;29;bank;milik sendiri;1;tidak terampil;1;tidak;ya;baik
0<=X<200;27;sebelumnya tertunda;mobil bekas;5965;<100;>=7;1;pria lajang;tidak ada;2;mobil;30;tidak ada;milik sendiri;2;kualifikasi tinggi;1;ya;ya;baik
tidak ada pemeriksaan;12;berbayar yang ada;radio/tv;1262;<100;1;3;pria lajang;tidak ada;2;mobil;25;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;18;berbayar yang ada;mobil bekas;3378;tidak diketahui;1;2;pria lajang;tidak ada;1;asuransi jiwa;31;tidak ada;milik sendiri;1;terampil;1;ya;ya;baik
0<=X<200;36;sebelumnya tertunda;mobil baru;2225;<100;>=7;4;pria lajang;tidak ada;4;tidak diketahui;57;bank;gratis;2;terampil;1;ya;ya;buruk
tidak ada pemeriksaan;6;lunas seluruhnya;mobil baru;783;tidak diketahui;1;1;pria lajang;penjamin;2;perumahan;26;toko;milik sendiri;1;tidak terampil;2;tidak;ya;baik
0<=X<200;12;berbayar yang ada;radio/tv;6468;tidak diketahui;pengangguran;2;pria lajang;tidak ada;1;tidak diketahui;52;tidak ada;milik sendiri;1;kualifikasi tinggi;1;ya;ya;buruk
tidak ada pemeriksaan;36;kredit penting/kredit lainnya;radio/tv;9566;<100;1;2;wanita bercerai/menikah;tidak ada;2;mobil;31;toko;milik sendiri;2;terampil;1;tidak;ya;baik
>=200;18;berbayar yang ada;mobil baru;1961;<100;>=7;3;wanita bercerai/menikah;tidak ada;2;mobil;23;tidak ada;milik sendiri;1;kualifikasi tinggi;1;tidak;ya;baik
<0;36;kredit penting/kredit lainnya;perabot/perlengkapan;6229;<100;<1;4;wanita bercerai/menikah;pemohon bersama;4;tidak diketahui;23;tidak ada;sewa;2;tidak terampil;1;ya;ya;buruk
0<=X<200;9;berbayar yang ada;bisnis;1391;<100;1;2;pria menikah/duda;tidak ada;1;perumahan;27;bank;milik sendiri;1;terampil;1;ya;ya;baik
0<=X<200;15;kredit penting/kredit lainnya;radio/tv;1537;tidak diketahui;>=7;4;pria lajang;penjamin;4;perumahan;50;tidak ada;milik sendiri;2;terampil;1;ya;ya;baik
0<=X<200;36;tidak ada kredit/kredit lunas;bisnis;1953;<100;>=7;4;pria lajang;tidak ada;4;tidak diketahui;61;tidak ada;gratis;1;kualifikasi tinggi;1;ya;ya;buruk
0<=X<200;48;tidak ada kredit/kredit lunas;bisnis;14421;<100;1;2;pria lajang;tidak ada;2;mobil;25;tidak ada;milik sendiri;1;terampil;1;ya;ya;buruk
tidak ada pemeriksaan;24;berbayar yang ada;radio/tv;3181;<100;<1;4;wanita bercerai/menikah;tidak ada;4;asuransi jiwa;26;tidak ada;milik sendiri;1;terampil;1;ya;ya;baik
tidak ada pemeriksaan;27;berbayar yang ada;perbaikan;5190;tidak diketahui;>=7;4;pria lajang;tidak ada;4;asuransi jiwa;48;tidak ada;milik sendiri;4;terampil;2;ya;ya;baik
tidak ada pemeriksaan;12;berbayar yang ada;radio/tv;2171;<100;<1;2;wanita bercerai/menikah;tidak ada;2;mobil;29;bank;milik sendiri;1;terampil;1;tidak;ya;baik
0<=X<200;12;berbayar yang ada;mobil baru;1007;>=1000;1;4;pria menikah/duda;tidak ada;1;perumahan;22;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;36;berbayar yang ada;pendidikan;1819;<100;1;4;pria lajang;tidak ada;4;tidak diketahui;37;toko;gratis;1;terampil;1;ya;ya;buruk
tidak ada pemeriksaan;36;berbayar yang ada;radio/tv;2394;tidak diketahui;1;4;wanita bercerai/menikah;tidak ada;4;mobil;25;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;36;berbayar yang ada;mobil bekas;8133;<100;1;1;wanita bercerai/menikah;tidak ada;2;asuransi jiwa;30;bank;milik sendiri;1;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;7;kredit penting/kredit lainnya;radio/tv;730;tidak diketahui;>=7;4;pria lajang;tidak ada;2;asuransi jiwa;46;tidak ada;sewa;2;tidak terampil;1;ya;ya;baik
<0;8;kredit penting/kredit lainnya;lainnya;1164;<100;>=7;3;pria lajang;tidak ada;4;tidak diketahui;51;bank;gratis;2;kualifikasi tinggi;2;ya;ya;baik
0<=X<200;42;kredit penting/kredit lainnya;bisnis;5954;<100;4;2;wanita bercerai/menikah;tidak ada;1;perumahan;41;bank;milik sendiri;2;tidak terampil;1;tidak;ya;baik
<0;36;berbayar yang ada;pendidikan;1977;tidak diketahui;>=7;4;pria lajang;tidak ada;4;tidak diketahui;40;tidak ada;milik sendiri;1;kualifikasi tinggi;1;ya;ya;buruk
<0;12;kredit penting/kredit lainnya;mobil bekas;1526;<100;>=7;4;pria lajang;tidak ada;4;tidak diketahui;66;tidak ada;gratis;2;kualifikasi tinggi;1;tidak;ya;baik
<0;42;berbayar yang ada;radio/tv;3965;<100;<1;4;pria lajang;tidak ada;3;mobil;34;tidak ada;milik sendiri;1;terampil;1;tidak;ya;buruk
0<=X<200;11;sebelumnya tertunda;radio/tv;4771;<100;4;2;pria lajang;tidak ada;4;asuransi jiwa;51;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;54;tidak ada kredit/kredit lunas;mobil bekas;9436;tidak diketahui;1;2;pria lajang;tidak ada;2;asuransi jiwa;39;tidak ada;milik sendiri;1;tidak terampil;2;tidak;ya;baik
0<=X<200;30;berbayar yang ada;perabot/perlengkapan;3832;<100;<1;2;pria menikah/duda;tidak ada;1;asuransi jiwa;22;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;24;berbayar yang ada;radio/tv;5943;tidak diketahui;<1;1;wanita bercerai/menikah;tidak ada;1;mobil;44;tidak ada;milik sendiri;2;terampil;1;ya;ya;buruk
tidak ada pemeriksaan;15;berbayar yang ada;radio/tv;1213;500;>=7;4;pria lajang;tidak ada;3;asuransi jiwa;47;toko;milik sendiri;1;terampil;1;ya;ya;baik
tidak ada pemeriksaan;18;berbayar yang ada;bisnis;1568;100;1;3;wanita bercerai/menikah;tidak ada;4;asuransi jiwa;24;tidak ada;sewa;1;tidak terampil;1;tidak;ya;baik
<0;24;berbayar yang ada;lainnya;1755;<100;>=7;4;wanita bercerai/menikah;penjamin;4;perumahan;58;tidak ada;milik sendiri;1;tidak terampil;1;ya;ya;baik
<0;10;berbayar yang ada;radio/tv;2315;<100;>=7;3;pria lajang;tidak ada;4;perumahan;52;tidak ada;milik sendiri;1;tidak terampil;1;tidak;ya;baik
tidak ada pemeriksaan;12;kredit penting/kredit lainnya;bisnis;1412;<100;1;4;wanita bercerai/menikah;penjamin;2;perumahan;29;tidak ada;milik sendiri;2;kualifikasi tinggi;1;ya;ya;baik
0<=X<200;18;kredit penting/kredit lainnya;perabot/perlengkapan;1295;<100;<1;4;wanita bercerai/menikah;tidak ada;1;asuransi jiwa;27;tidak ada;milik sendiri;2;terampil;1;tidak;ya;baik
0<=X<200;36;berbayar yang ada;pendidikan;12612;100;1;1;pria lajang;tidak ada;4;tidak diketahui;47;tidak ada;gratis;1;terampil;2;ya;ya;buruk
<0;18;berbayar yang ada;mobil baru;2249;100;4;4;pria lajang;tidak ada;3;mobil;30;tidak ada;milik sendiri;1;kualifikasi tinggi;2;ya;ya;baik
<0;12;tidak ada kredit/kredit lunas;perbaikan;1108;<100;4;4;pria lajang;tidak ada;3;perumahan;28;tidak ada;milik sendiri;2;terampil;1;tidak;ya;buruk
tidak ada pemeriksaan;12;kredit penting/kredit lainnya;radio/tv;618;<100;>=7;4;pria lajang;tidak ada;4;perumahan;56;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
<0;12;kredit penting/kredit lainnya;mobil bekas;1409;<100;>=7;4;pria lajang;tidak ada;3;perumahan;54;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;12;kredit penting/kredit lainnya;radio/tv;797;tidak diketahui;>=7;4;wanita bercerai/menikah;tidak ada;3;asuransi jiwa;33;bank;milik sendiri;1;tidak terampil;2;tidak;ya;buruk
>=200;24;kredit penting/kredit lainnya;perabot/perlengkapan;3617;tidak diketahui;>=7;4;pria lajang;pemohon bersama;4;tidak diketahui;20;tidak ada;sewa;2;terampil;1;tidak;ya;baik
0<=X<200;12;berbayar yang ada;mobil baru;1318;>=1000;>=7;4;pria lajang;tidak ada;4;perumahan;54;tidak ada;milik sendiri;1;terampil;1;ya;ya;baik
0<=X<200;54;tidak ada kredit/kredit lunas;bisnis;15945;<100;<1;3;pria lajang;tidak ada;4;tidak diketahui;58;tidak ada;sewa;1;terampil;1;ya;ya;buruk
tidak ada pemeriksaan;12;kredit penting/kredit lainnya;pendidikan;2012;tidak diketahui;4;4;wanita bercerai/menikah;tidak ada;2;mobil;61;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
0<=X<200;18;berbayar yang ada;bisnis;2622;100;1;4;pria lajang;tidak ada;4;mobil;34;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
0<=X<200;36;kredit penting/kredit lainnya;radio/tv;2337;<100;>=7;4;pria lajang;tidak ada;4;perumahan;36;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
0<=X<200;20;sebelumnya tertunda;mobil bekas;7057;tidak diketahui;4;3;pria lajang;tidak ada;4;asuransi jiwa;36;bank;sewa;2;kualifikasi tinggi;2;ya;ya;baik
tidak ada pemeriksaan;24;berbayar yang ada;mobil baru;1469;100;>=7;4;pria menikah/duda;tidak ada;4;perumahan;41;tidak ada;sewa;1;tidak terampil;1;tidak;ya;baik
0<=X<200;36;berbayar yang ada;radio/tv;2323;<100;4;4;pria lajang;tidak ada;4;mobil;24;tidak ada;sewa;1;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;6;sebelumnya tertunda;radio/tv;932;<100;1;3;wanita bercerai/menikah;tidak ada;2;perumahan;24;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
0<=X<200;9;kredit penting/kredit lainnya;perabot/perlengkapan;1919;<100;4;4;pria lajang;tidak ada;3;mobil;35;tidak ada;sewa;1;terampil;1;ya;ya;baik
tidak ada pemeriksaan;12;berbayar yang ada;mobil bekas;2445;tidak diketahui;<1;2;pria menikah/duda;tidak ada;4;mobil;26;tidak ada;sewa;1;terampil;1;ya;ya;baik
0<=X<200;24;kredit penting/kredit lainnya;lainnya;11938;<100;1;2;pria lajang;pemohon bersama;3;mobil;39;tidak ada;milik sendiri;2;kualifikasi tinggi;2;ya;ya;buruk
tidak ada pemeriksaan;18;lunas seluruhnya;mobil baru;6458;<100;>=7;2;pria lajang;tidak ada;4;tidak diketahui;39;bank;milik sendiri;2;kualifikasi tinggi;2;ya;ya;buruk
0<=X<200;12;berbayar yang ada;mobil baru;6078;<100;4;2;pria lajang;tidak ada;2;mobil;32;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
<0;24;berbayar yang ada;perabot/perlengkapan;7721;tidak diketahui;<1;1;wanita bercerai/menikah;tidak ada;2;asuransi jiwa;30;tidak ada;milik sendiri;1;terampil;1;ya;tidak;baik
0<=X<200;14;berbayar yang ada;bisnis;1410;500;>=7;1;pria menikah/duda;tidak ada;2;perumahan;35;tidak ada;milik sendiri;1;terampil;1;ya;ya;baik
0<=X<200;6;sebelumnya tertunda;bisnis;1449;100;>=7;1;pria bercerai;tidak ada;2;mobil;31;bank;milik sendiri;2;terampil;2;tidak;ya;baik
>=200;15;berbayar yang ada;pendidikan;392;<100;<1;4;wanita bercerai/menikah;tidak ada;4;asuransi jiwa;23;tidak ada;sewa;1;terampil;1;ya;ya;baik
0<=X<200;18;berbayar yang ada;mobil baru;6260;<100;4;3;pria lajang;tidak ada;3;perumahan;28;tidak ada;sewa;1;tidak terampil;1;tidak;ya;baik
tidak ada pemeriksaan;36;kredit penting/kredit lainnya;mobil baru;7855;<100;1;4;wanita bercerai/menikah;tidak ada;2;perumahan;25;toko;milik sendiri;2;terampil;1;ya;ya;buruk
<0;12;berbayar yang ada;radio/tv;1680;500;>=7;3;pria menikah/duda;tidak ada;1;perumahan;35;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;48;kredit penting/kredit lainnya;radio/tv;3578;tidak diketahui;>=7;4;pria lajang;tidak ada;1;perumahan;47;tidak ada;milik sendiri;1;terampil;1;ya;ya;baik
<0;42;berbayar yang ada;radio/tv;7174;tidak diketahui;4;4;wanita bercerai/menikah;tidak ada;3;mobil;30;tidak ada;milik sendiri;1;kualifikasi tinggi;1;ya;ya;buruk
<0;10;kredit penting/kredit lainnya;perabot/perlengkapan;2132;tidak diketahui;<1;2;wanita bercerai/menikah;pemohon bersama;3;perumahan;27;tidak ada;sewa;2;terampil;1;tidak;tidak;baik
<0;33;kredit penting/kredit lainnya;perabot/perlengkapan;4281;500;1;1;wanita bercerai/menikah;tidak ada;4;mobil;23;tidak ada;milik sendiri;2;terampil;1;tidak;ya;buruk
0<=X<200;12;kredit penting/kredit lainnya;mobil baru;2366;500;4;3;pria bercerai;tidak ada;3;mobil;36;tidak ada;milik sendiri;1;kualifikasi tinggi;1;ya;ya;baik
<0;21;berbayar yang ada;radio/tv;1835;<100;1;3;wanita bercerai/menikah;tidak ada;2;perumahan;25;tidak ada;milik sendiri;2;terampil;1;ya;ya;buruk
tidak ada pemeriksaan;24;kredit penting/kredit lainnya;mobil bekas;3868;<100;>=7;4;wanita bercerai/menikah;tidak ada;2;mobil;41;tidak ada;sewa;2;kualifikasi tinggi;1;ya;ya;baik
tidak ada pemeriksaan;12;berbayar yang ada;perabot/perlengkapan;1768;<100;1;3;pria lajang;tidak ada;2;perumahan;24;tidak ada;sewa;1;tidak terampil;1;tidak;ya;baik
>=200;10;kredit penting/kredit lainnya;mobil baru;781;<100;>=7;4;pria lajang;tidak ada;4;tidak diketahui;63;tidak ada;gratis;2;terampil;1;ya;ya;baik
0<=X<200;18;berbayar yang ada;perabot/perlengkapan;1924;tidak diketahui;<1;4;wanita bercerai/menikah;tidak ada;3;perumahan;27;tidak ada;sewa;1;terampil;1;tidak;ya;buruk
<0;12;kredit penting/kredit lainnya;mobil baru;2121;<100;1;4;pria lajang;tidak ada;2;asuransi jiwa;30;tidak ada;milik sendiri;2;terampil;1;tidak;ya;baik
<0;12;berbayar yang ada;radio/tv;701;<100;1;4;pria menikah/duda;tidak ada;2;perumahan;40;tidak ada;milik sendiri;1;tidak terampil;1;tidak;ya;baik
0<=X<200;12;berbayar yang ada;perbaikan;639;<100;1;4;pria lajang;tidak ada;2;mobil;30;tidak ada;milik sendiri;1;terampil;1;tidak;ya;buruk
0<=X<200;12;kredit penting/kredit lainnya;mobil bekas;1860;<100;pengangguran;4;pria lajang;tidak ada;2;mobil;34;tidak ada;milik sendiri;2;kualifikasi tinggi;1;ya;ya;baik
<0;12;kredit penting/kredit lainnya;mobil baru;3499;<100;1;3;wanita bercerai/menikah;pemohon bersama;2;perumahan;29;tidak ada;milik sendiri;2;terampil;1;tidak;ya;buruk
0<=X<200;48;berbayar yang ada;mobil baru;8487;tidak diketahui;4;1;wanita bercerai/menikah;tidak ada;2;mobil;24;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
<0;36;sebelumnya tertunda;pendidikan;6887;<100;1;4;pria lajang;tidak ada;3;asuransi jiwa;29;toko;milik sendiri;1;terampil;1;ya;ya;buruk
tidak ada pemeriksaan;15;berbayar yang ada;perabot/perlengkapan;2708;<100;<1;2;pria lajang;tidak ada;3;asuransi jiwa;27;bank;milik sendiri;2;tidak terampil;1;tidak;ya;baik
tidak ada pemeriksaan;18;berbayar yang ada;perabot/perlengkapan;1984;<100;1;4;pria lajang;tidak ada;4;tidak diketahui;47;bank;gratis;2;terampil;1;tidak;ya;baik
tidak ada pemeriksaan;60;berbayar yang ada;radio/tv;10144;100;4;2;wanita bercerai/menikah;tidak ada;4;perumahan;21;tidak ada;milik sendiri;1;terampil;1;ya;ya;baik
tidak ada pemeriksaan;12;kredit penting/kredit lainnya;radio/tv;1240;tidak diketahui;>=7;4;wanita bercerai/menikah;tidak ada;2;perumahan;38;tidak ada;milik sendiri;2;terampil;1;ya;ya;baik
tidak ada pemeriksaan;27;sebelumnya tertunda;mobil bekas;8613;>=1000;1;2;pria lajang;tidak ada;2;mobil;27;tidak ada;milik sendiri;2;terampil;1;tidak;ya;baik
0<=X<200;12;berbayar yang ada;radio/tv;766;500;1;4;pria lajang;tidak ada;3;perumahan;66;tidak ada;milik sendiri;1;tidak terampil;1;tidak;ya;buruk
0<=X<200;15;kredit penting/kredit lainnya;radio/tv;2728;tidak diketahui;4;4;pria lajang;penjamin;2;perumahan;35;bank;milik sendiri;3;terampil;1;ya;ya;baik
>=200;12;berbayar yang ada;radio/tv;1881;<100;1;2;wanita bercerai/menikah;tidak ada;2;mobil;44;tidak ada;sewa;1;tidak terampil;1;ya;ya;baik
>=200;6;berbayar yang ada;mobil baru;709;>=1000;<1;2;pria menikah/duda;tidak ada;2;perumahan;27;tidak ada;milik sendiri;1;unemp/tidak terampil non res;1;tidak;tidak;baik
0<=X<200;36;berbayar yang ada;radio/tv;4795;<100;<1;4;wanita bercerai/menikah;tidak ada;1;tidak diketahui;30;tidak ada;milik sendiri;1;kualifikasi tinggi;1;ya;ya;baik
<0;27;berbayar yang ada;radio/tv;3416;<100;1;3;pria lajang;tidak ada;2;mobil;27;tidak ada;milik sendiri;1;kualifikasi tinggi;1;tidak;ya;baik
<0;18;berbayar yang ada;perabot/perlengkapan;2462;<100;1;2;pria lajang;tidak ada;2;mobil;22;tidak ada;milik sendiri;1;terampil;1;tidak;ya;buruk
